prompt_idx,layer,correct_answer,filter_property,wording_family,candidate_pool,score_electron,score_proton,score_neutron,score_photon,predicted_candidate,matches_correct
42,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
43,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
44,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
45,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
46,10,neutron,neutral_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
47,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
48,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
49,10,photon,em_quantum,F1_direct_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
50,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
51,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
52,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
53,10,photon,massless_em_mediator,F1_direct_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
54,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
55,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
56,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
57,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
58,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
59,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
60,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
61,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
62,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
63,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
64,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
65,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
66,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
67,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
68,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
69,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
70,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
71,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
72,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
73,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
74,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
75,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
76,10,neutron,nuclear_stability_provider,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
77,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
78,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
79,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
80,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
81,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
82,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
83,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
84,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
85,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
86,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
87,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
88,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
89,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
90,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
91,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
92,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
93,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
94,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
95,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
96,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
97,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
98,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
99,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
100,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
101,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
102,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
103,10,proton,positive_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
104,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
105,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
106,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
107,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
108,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
109,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
110,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
111,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
112,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
113,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
114,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
115,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
116,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
117,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
118,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
119,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
120,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
121,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
122,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
123,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
124,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
125,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
126,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
127,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
128,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
129,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
130,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
131,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
132,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
133,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
134,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
135,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
136,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
137,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
138,10,neutron,neutral_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
139,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
140,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
141,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
142,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
143,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
144,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
145,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
146,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
147,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
148,10,photon,massless_em_mediator,F1_direct_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
149,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
150,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
151,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
152,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
153,10,neutron,neutral_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
154,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
155,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
156,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
157,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
158,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
159,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
160,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
161,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
162,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
163,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
164,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
165,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
166,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
167,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
168,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
169,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
170,10,neutron,neutral_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
171,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
172,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
173,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
174,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
175,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
176,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
177,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
178,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
179,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
180,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
181,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
182,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
183,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
184,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
185,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
186,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
187,10,neutron,neutral_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
188,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
189,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
190,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
191,10,photon,massless_em_mediator,F1_direct_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
192,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
193,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
194,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
195,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
196,10,neutron,neutral_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
197,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
198,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
199,10,electron,negative_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
200,10,proton,positive_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
201,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
202,10,neutron,neutral_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
203,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
204,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
205,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
206,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
207,10,neutron,nuclear_stability_provider,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
208,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
209,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
210,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
211,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
212,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
213,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
214,10,electron,negative_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
215,10,proton,positive_charge_atomic,F3_process_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
216,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
217,10,neutron,nuclear_stability_provider,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
218,10,electron,negative_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
219,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
220,10,neutron,neutral_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
221,10,photon,massless_em_mediator,F4_contrast_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
222,10,photon,em_quantum,F3_process_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
223,10,photon,em_quantum,F4_contrast_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
224,10,electron,negative_charge_atomic,F2_contextual_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,True
225,10,photon,em_quantum,F2_contextual_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
226,10,photon,massless_em_mediator,F2_contextual_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
227,10,photon,massless_em_mediator,F3_process_implicit,"electron,neutron,photon,proton",0.0,0.0,0.0,0.0,electron,False
228,10,photon,em_quantum,F1_direct_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
229,10,proton,positive_charge_atomic,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
230,10,neutron,nuclear_stability_provider,F4_contrast_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
231,10,photon,em_quantum,F1_direct_implicit,"electron,photon,proton",0.0,0.0,0.0,0.0,electron,False
232,10,proton,positive_charge_atomic,F1_direct_implicit,"electron,neutron,proton",0.0,0.0,0.0,0.0,electron,False
