prompt,correct_answer,incorrect_answer,correct_log_prob,incorrect_log_prob,correct_token_len,incorrect_token_len,logprob_diff,logprob_diff_normalized,success,generated,score_method,success_metric,threshold,threshold_metric,prompt_id,behaviour,behaviour_type,physics_concept,concept_index,template_idx,difficulty,answer_format,surface_family,keyword_free,level,level_label,group_id,level_group,cue_type,cue_set,relation_type,concept_route,wording_variant,test_type,abstraction_level,inference_steps,has_alpha_keyword,has_beta_keyword,has_helium_ref,has_electron_ref,has_isotope,keyword_type,semantic_equivalence_group,ic_concept_group,contrastive_pair_id,contrastive_role,is_anchor,is_kw_variant,is_auxiliary,prompt_format,evidence_completeness,is_uniquely_determining,notes
A nucleus undergoes a decay process. The electric charge carried by the emitted particle is positive and equal to two elementary units. Is the decay type alpha or beta?, alpha, beta,-18.016332626342773,-19.130102157592773,1,1,1.11376953125,1.11376953125,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v11,physics_decay_type_probe,latent_state_probing,alpha_decay,0,11,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,11,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle has a net positive charge of two elementary units. Is the decay type alpha or beta?, alpha, beta,-17.586816787719727,-18.176546096801758,1,1,0.5897293090820312,0.5897293090820312,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v12,physics_decay_type_probe,latent_state_probing,alpha_decay,0,12,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,12,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle has a mass number of 4. Is the decay type alpha or beta?, alpha, beta,-15.855463981628418,-17.48458480834961,1,1,1.6291208267211914,1.6291208267211914,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v01,physics_decay_type_probe,latent_state_probing,alpha_decay,0,1,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,1,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The particle released has a mass number equal to four. Is the decay type alpha or beta?, alpha, beta,-16.192230224609375,-17.265228271484375,1,1,1.072998046875,1.072998046875,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v02,physics_decay_type_probe,latent_state_probing,alpha_decay,0,2,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,2,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle contains a total of 4 nucleons. Is the decay type alpha or beta?, alpha, beta,-16.532262802124023,-17.984893798828125,1,1,1.4526309967041016,1.4526309967041016,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v03,physics_decay_type_probe,latent_state_probing,alpha_decay,0,3,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,3,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle has atomic mass unit 4. Is the decay type alpha or beta?, alpha, beta,-14.696828842163086,-16.147716522216797,1,1,1.450887680053711,1.450887680053711,True,How can we determine this,teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v04,physics_decay_type_probe,latent_state_probing,alpha_decay,0,4,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,4,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The mass number of the emitted particle is 4. Is the decay type alpha or beta?, alpha, beta,-15.380664825439453,-17.298315048217773,1,1,1.9176502227783203,1.9176502227783203,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v05,physics_decay_type_probe,latent_state_probing,alpha_decay,0,5,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,5,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle contains exactly 4 nucleons. Is the decay type alpha or beta?, alpha, beta,-16.26016616821289,-17.590932846069336,1,1,1.3307666778564453,1.3307666778564453,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v06,physics_decay_type_probe,latent_state_probing,alpha_decay,0,6,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,6,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The total number of nucleons in the emitted particle is 4. Is the decay type alpha or beta?, alpha, beta,-17.158023834228516,-18.61117172241211,1,1,1.4531478881835938,1.4531478881835938,True,How can we determine this,teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v07,physics_decay_type_probe,latent_state_probing,alpha_decay,0,7,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,7,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle has a nucleon number of 4. Is the decay type alpha or beta?, alpha, beta,-17.251054763793945,-18.385066986083984,1,1,1.134012222290039,1.134012222290039,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v08,physics_decay_type_probe,latent_state_probing,alpha_decay,0,8,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,8,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle consists of 4 nucleons in total. Is the decay type alpha or beta?, alpha, beta,-16.927791595458984,-18.2813720703125,1,1,1.3535804748535156,1.3535804748535156,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v09,physics_decay_type_probe,latent_state_probing,alpha_decay,0,9,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,9,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The number of nucleons in the emitted particle is exactly four. Is the decay type alpha or beta?, alpha, beta,-17.078022003173828,-18.562715530395508,1,1,1.4846935272216797,1.4846935272216797,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v10,physics_decay_type_probe,latent_state_probing,alpha_decay,0,10,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,10,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle has a mass equivalent to 4 nucleon masses. Is the decay type alpha or beta?, alpha, beta,-17.329744338989258,-18.965681076049805,1,1,1.6359367370605469,1.6359367370605469,True,"Also, why is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v11,physics_decay_type_probe,latent_state_probing,alpha_decay,0,11,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,11,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle contains four nucleons total. Is the decay type alpha or beta?, alpha, beta,-14.98261547088623,-16.604228973388672,1,1,1.6216135025024414,1.6216135025024414,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A2-v12,physics_decay_type_probe,latent_state_probing,alpha_decay,0,12,easy,x_or_y,L1-A2,True,1.0,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,12,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A2,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The daughter nucleus has an atomic number 2 less than the parent nucleus. Is the decay type alpha or beta?, alpha, beta,-16.55687141418457,-18.02695083618164,1,1,1.4700794219970703,1.4700794219970703,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v01,physics_decay_type_probe,latent_state_probing,alpha_decay,0,1,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,1,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
"A nucleus undergoes a decay process. After the decay, the product nucleus has Z reduced by 2. Is the decay type alpha or beta?", alpha, beta,-15.185513496398926,-16.634632110595703,1,1,1.4491186141967773,1.4491186141967773,True,"Explain.

We are given",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v02,physics_decay_type_probe,latent_state_probing,alpha_decay,0,2,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,2,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The atomic number of the daughter nucleus is 2 fewer than that of the parent. Is the decay type alpha or beta?, alpha, beta,-16.614355087280273,-17.987024307250977,1,1,1.3726692199707031,1.3726692199707031,True,"Explain.

We are given",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v03,physics_decay_type_probe,latent_state_probing,alpha_decay,0,3,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,3,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The daughter element is 2 positions to the left of the parent on the periodic table. Is the decay type alpha or beta?, alpha, beta,-17.556560516357422,-18.401010513305664,1,1,0.8444499969482422,0.8444499969482422,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v04,physics_decay_type_probe,latent_state_probing,alpha_decay,0,4,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,4,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The resulting nucleus has 2 fewer protons than the original nucleus. Is the decay type alpha or beta?, alpha, beta,-17.484617233276367,-18.229888916015625,1,1,0.7452716827392578,0.7452716827392578,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v05,physics_decay_type_probe,latent_state_probing,alpha_decay,0,5,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,5,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The product of this decay has a proton count decreased by 2. Is the decay type alpha or beta?, alpha, beta,-15.621339797973633,-16.372827529907227,1,1,0.7514877319335938,0.7514877319335938,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v06,physics_decay_type_probe,latent_state_probing,alpha_decay,0,6,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,6,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The daughter nucleus has a proton number 2 lower than the parent. Is the decay type alpha or beta?, alpha, beta,-16.89348793029785,-17.87408447265625,1,1,0.9805965423583984,0.9805965423583984,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v07,physics_decay_type_probe,latent_state_probing,alpha_decay,0,7,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,7,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
"A nucleus undergoes a decay process. After this decay, the element moves 2 positions to the left in the periodic table. Is the decay type alpha or beta?", alpha, beta,-18.777587890625,-20.05573844909668,1,1,1.2781505584716797,1.2781505584716797,True,"Also, what happens to",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v08,physics_decay_type_probe,latent_state_probing,alpha_decay,0,8,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,8,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The number of protons in the product nucleus is 2 less than in the original. Is the decay type alpha or beta?, alpha, beta,-16.868450164794922,-17.919536590576172,1,1,1.05108642578125,1.05108642578125,True,"Explain.

We are given",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v09,physics_decay_type_probe,latent_state_probing,alpha_decay,0,9,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,9,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The atomic number decreases by 2 in this decay. Is the decay type alpha or beta?, alpha, beta,-14.39321517944336,-15.91968822479248,1,1,1.526473045349121,1.526473045349121,True,"Also, what happens to",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v10,physics_decay_type_probe,latent_state_probing,alpha_decay,0,10,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,10,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The product nucleus contains 2 fewer protons than the parent nucleus. Is the decay type alpha or beta?, alpha, beta,-17.29461097717285,-17.929494857788086,1,1,0.6348838806152344,0.6348838806152344,True,"Explain.

We are given",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v11,physics_decay_type_probe,latent_state_probing,alpha_decay,0,11,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,11,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The daughter's atomic number is reduced by 2 compared to the parent's. Is the decay type alpha or beta?, alpha, beta,-14.957326889038086,-16.35647964477539,1,1,1.3991527557373047,1.3991527557373047,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A3-v12,physics_decay_type_probe,latent_state_probing,alpha_decay,0,12,easy,x_or_y,L1-A3,True,1.0,atomic_cue,L1-A3,L1-A3,daughter_z_minus2,['daughter_z_minus2'],,,12,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A3,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The daughter nucleus has a mass number 4 less than the parent. Is the decay type alpha or beta?, alpha, beta,-17.472211837768555,-19.130523681640625,1,1,1.6583118438720703,1.6583118438720703,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v01,physics_decay_type_probe,latent_state_probing,alpha_decay,0,1,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,1,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The mass number decreases by 4 during this decay. Is the decay type alpha or beta?, alpha, beta,-16.34490966796875,-17.91293716430664,1,1,1.5680274963378906,1.5680274963378906,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v02,physics_decay_type_probe,latent_state_probing,alpha_decay,0,2,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,2,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
"A nucleus undergoes a decay process. After the decay, the product nucleus has 4 fewer nucleons than the parent. Is the decay type alpha or beta?", alpha, beta,-17.41335678100586,-18.965988159179688,1,1,1.5526313781738281,1.5526313781738281,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v03,physics_decay_type_probe,latent_state_probing,alpha_decay,0,3,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,3,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The total nucleon count of the daughter nucleus is 4 less than that of the parent. Is the decay type alpha or beta?, alpha, beta,-17.137069702148438,-18.59201431274414,1,1,1.4549446105957031,1.4549446105957031,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v04,physics_decay_type_probe,latent_state_probing,alpha_decay,0,4,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,4,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The daughter nucleus has lost 4 nucleons compared to the parent. Is the decay type alpha or beta?, alpha, beta,-17.152469635009766,-18.540857315063477,1,1,1.388387680053711,1.388387680053711,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v05,physics_decay_type_probe,latent_state_probing,alpha_decay,0,5,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,5,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The mass number of the product nucleus is 4 lower than that of the original. Is the decay type alpha or beta?, alpha, beta,-17.263269424438477,-18.722238540649414,1,1,1.4589691162109375,1.4589691162109375,True,"Explain.

We are given",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v06,physics_decay_type_probe,latent_state_probing,alpha_decay,0,6,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,6,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The decay results in a daughter nucleus with 4 fewer nucleons. Is the decay type alpha or beta?, alpha, beta,-16.751842498779297,-18.304317474365234,1,1,1.5524749755859375,1.5524749755859375,True,"Explain your reasoning.

We",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v07,physics_decay_type_probe,latent_state_probing,alpha_decay,0,7,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,7,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
A nucleus undergoes a decay process. The mass number is reduced by 4 in this process. Is the decay type alpha or beta?, alpha, beta,-16.168758392333984,-17.74248695373535,1,1,1.5737285614013672,1.5737285614013672,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A4-v08,physics_decay_type_probe,latent_state_probing,alpha_decay,0,8,easy,x_or_y,L1-A4,True,1.0,atomic_cue,L1-A4,L1-A4,daughter_a_minus4,['daughter_a_minus4'],,,8,"['SE', 'IC']",2,2,False,False,False,False,False,,L1-A4,alpha,,,False,False,False,daughter,single,True,
